entity_type,total,generated_links,ambiguous,unmatched,invalid,coverage_percent,linking_method,external_dataset
Library,19611,19611,0,0,0,100.0,"Exact ISIL lookup; rdfs:seeAlso because the external target is the ICCU Anagrafe HTML record/search page, not an RDF entity",ICCU Anagrafe delle Biblioteche Italiane
Municipality,7896,7893,0,3,0,99.962,Link generated from the exact six-digit ISTAT code embedded in the Linked ISPRA municipality URI; owl:sameAs,Linked ISPRA place dataset
