population_group,N,mean_problematic_share,median_problematic_share,municipalities_with_any_problematic,share_municipalities_with_any_problematic,mean_population_change_percent,mannwhitney_u,mannwhitney_p
decline,4790,0.12416683433119553,0.0,874,0.18246346555323592,-4.781324982410917,4678575.5,1.1699551680732858e-05
stable_or_growth,1869,0.08480319168618002,0.0,262,0.14018191546281433,2.6009295254405815,,
