analysis,N,pearson_r,pearson_p,spearman_rho,spearman_p,pop_change_iqr_low,pop_change_iqr_high,outlier_count
primary_all_eligible,6659,-0.10644865061493272,3.0489151198925425e-18,-0.06701953252827562,4.3973354876997604e-08,-14.548659156683051,9.283253711261013,115
sensitivity_excluding_population_change_IQR_outliers,6544,-0.0955682721997852,9.390028330613462e-15,-0.05838118543375669,2.291272817903895e-06,-14.548659156683051,9.283253711261013,0
