min_libraries,N,pearson_r,pearson_p,spearman_rho,spearman_p
1,6659,-0.10644865061493272,3.0489151198925425e-18,-0.06701953252827562,4.3973354876997604e-08
2,1712,-0.03181188728599471,0.18829809996092742,0.009374238750251831,0.6983144828810163
3,771,-0.028154650489060493,0.43500640804001445,0.03307060889253993,0.3591275398220365
5,345,0.08322396261723991,0.12285892106412834,0.10615097167616029,0.04882913811175865
10,155,0.02848383551057922,0.724971921406663,0.014520801261454622,0.8576796847615075
