functional_type,BIBLIOTECA_CONFLUITA,BIBLIOTECA_IN_VIA_DI_ALLESTIMENTO,BIBLIOTECA_NON_CENSITA,BIBLIOTECA_NON_PIU_ESISTENTE,DEPOSITO_SENZA_PUNTO_DI_SERVIZIO,INAGIBILE,NESSUNO_STATO_SPECIALE_REGISTRATO,RIAPERTURA_AGIBILITA_PARZIALE,SERVIZI_SOSPESI_CAUSA_SISMA,TEMPORANEAMENTE_CHIUSA
Di conservazione,2.888086642599278,0.0,0.0,7.039711191335741,0.18050541516245489,0.0,83.03249097472924,0.0,0.18050541516245489,6.678700361010831
Importante non specializzata,0.0,0.0,8.59375,0.78125,0.0,0.0,90.625,0.0,0.0,0.0
Istituto di insegnamento superiore,42.79019466474405,0.07209805335255948,0.5767844268204758,11.499639509733237,0.684931506849315,0.0,43.33093006488824,0.03604902667627974,0.0,1.0093727469358327
Itinerante,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
NON SPECIFICATA,9.89456609894566,0.8921330089213302,51.013787510137874,35.847526358475264,0.16220600162206003,0.0,1.5409570154095702,0.0,0.0,0.6488240064882401
Nazionale,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Pubblica,0.4778240627297231,0.08576329331046312,3.418279833374173,6.297476108796864,0.036755697133055626,0.036755697133055626,84.9546679735359,0.012251899044351875,0.098015192354815,4.5822102425876015
Scolastica,0.2352941176470588,0.3137254901960784,4.156862745098039,3.5294117647058822,0.0784313725490196,0.0,90.19607843137256,0.0,0.0784313725490196,1.411764705882353
Specializzata,2.8760119301235623,0.21303792074989347,15.423945462292288,9.927567106945036,0.14912654452492544,0.021303792074989347,68.06561567959096,0.0,0.04260758414997869,3.2807839795483593
