source_id,publisher,dataset_name,source_url,local_file,format,encoding,license,download_date,temporal_coverage,spatial_coverage,update_frequency,role_in_project,sha256,notes
ICCU_ANAGRAFE_20260908,ICCU – Istituto Centrale per il Catalogo Unico delle biblioteche italiane e per le informazioni bibliografiche,Anagrafe delle Biblioteche Italiane – Open Data,https://anagrafe.iccu.sbn.it/it/open-data/,data/raw/iccu/opendata.zip,"ZIP (JSON, CSV, XML)",UTF-8 / UTF-8-SIG,CC0 1.0,2026-09-08,snapshot 2026-09-08T14:11:15,Italia; include alcune sedi italiane all’estero,quotidiana,master biblioteche e dataset ICCU secondari,536aab4de1ea4dcdb7e078ca2694f107dd3bdfd68d17a5f6490f7a1730ce1841,Archivio RAW originale incluso nel repository; integrità verificabile tramite SHA-256.
ISTAT_POSAS_2019,Istat – Istituto nazionale di statistica,"Popolazione residente per età, sesso e stato civile al 1° gennaio (POSAS) 2019",https://demo.istat.it/app/?i=POS,data/raw/istat/POSAS_2019_it_Tutti_i_file.zip,ZIP/CSV,UTF-8-SIG,CC BY 4.0,2026-09-08,2019-01-01,"Italia, comuni/province/regioni/ripartizioni",annuale,baseline demografica 2019,b5cf8df245fbf82fefbf2ac3b74f43cfe5c89e45df19cea172ae7233fd00d7d3,Archivio RAW originale incluso nel repository; integrità verificabile tramite SHA-256.
ISTAT_POSAS_2025,Istat – Istituto nazionale di statistica,"Popolazione residente per età, sesso e stato civile al 1° gennaio (POSAS) 2025",https://demo.istat.it/app/?i=POS,data/raw/istat/POSAS_2025_it_Tutti_i_file.zip,ZIP/CSV,UTF-8-SIG,CC BY 4.0,2026-09-08,2025-01-01,"Italia, comuni/province/regioni/ripartizioni",annuale,popolazione corrente e geografia canonica 2025,4008c4ead71b00af99ea2fa39fde79bf49e2be0a8cba204bc8b1eb68640a3b9b,Archivio RAW originale incluso nel repository; integrità verificabile tramite SHA-256.
CULTURAL_ON_V2,MiBACT / CNR-ISTC STLab,Cultural-ON (Cultural ONtology),https://dati.beniculturali.it/cultural-ON/ITA.html,data/external/cultural-ON.owl,OWL/RDFXML,UTF-8,CC BY 3.0 IT,2026-09-08,versione 2.0 – 2016-03-30,vocabolario/ontologia di dominio,,ontologia esterna riutilizzata nella modellazione semantica,b81643ef5438e69fda1ce1c7bc5927d7a2c01491c7c0ddc752f8cb34b0297454,Utilizzata per il riuso e l’allineamento dei concetti dell’ontologia di progetto.
ICCU_RELEASE_NOTES_1_6_1,ICCU,Anagrafe delle biblioteche italiane – Note di rilascio formato di scambio 1.6,https://anagrafe.iccu.sbn.it/it/informazioni/formato-di-scambio/,data/external/note-di-rilascio-1.6 (pagina 1).png,PNG,binary,"CC BY-NC-SA 3.0 IT (licenza predefinita dei contenuti editoriali del sito ICCU, salvo diversa indicazione)",2026-09-08,versione formato 1.6,,,documentazione struttura/formato e contesto evolutivo,c3324ecf7ce4173c7665c044b329f7fec844be593703e7f27bc701d313f6ea9b,Documentazione ufficiale ICCU conservata localmente a fini di provenance.
ICCU_RELEASE_NOTES_1_6_2,ICCU,Anagrafe delle biblioteche italiane – Note di rilascio formato di scambio 1.6,https://anagrafe.iccu.sbn.it/it/informazioni/formato-di-scambio/,data/external/note-di-rilascio-1.6 (pagina 2).png,PNG,binary,"CC BY-NC-SA 3.0 IT (licenza predefinita dei contenuti editoriali del sito ICCU, salvo diversa indicazione)",2026-09-08,versione formato 1.6,,,documentazione struttura/formato e contesto evolutivo,f6d0d2089134049cf904447fd7d0547f52f18fcba1b284fda0bac07bb81b4b6a,Documentazione ufficiale ICCU conservata localmente a fini di provenance.
ICCU_RELEASE_NOTES_1_6_3,ICCU,Anagrafe delle biblioteche italiane – Note di rilascio formato di scambio 1.6,https://anagrafe.iccu.sbn.it/it/informazioni/formato-di-scambio/,data/external/note-di-rilascio-1.6 (pagina 3).png,PNG,binary,"CC BY-NC-SA 3.0 IT (licenza predefinita dei contenuti editoriali del sito ICCU, salvo diversa indicazione)",2026-09-08,versione formato 1.6,,,documentazione struttura/formato e contesto evolutivo,a92c8ff78b6ae12db0938f4e16bc32819bedfabf7651c612ce2cb205345b44d2,Documentazione ufficiale ICCU conservata localmente a fini di provenance.
ICCU_RELEASE_NOTES_1_6_4,ICCU,Anagrafe delle biblioteche italiane – Note di rilascio formato di scambio 1.6,https://anagrafe.iccu.sbn.it/it/informazioni/formato-di-scambio/,data/external/note-di-rilascio-1.6 (pagina 4).png,PNG,binary,"CC BY-NC-SA 3.0 IT (licenza predefinita dei contenuti editoriali del sito ICCU, salvo diversa indicazione)",2026-09-08,versione formato 1.6,,,documentazione struttura/formato e contesto evolutivo,5168bf2a3e84e5300a1dc6e8321c14fc5420518ceacfe9bb96b90b731373ac23,Documentazione ufficiale ICCU conservata localmente a fini di provenance.
ICCU_RELEASE_NOTES_1_6_5,ICCU,Anagrafe delle biblioteche italiane – Note di rilascio formato di scambio 1.6,https://anagrafe.iccu.sbn.it/it/informazioni/formato-di-scambio/,data/external/note-di-rilascio-1.6.pdf,PDF,binary,"CC BY-NC-SA 3.0 IT (licenza predefinita dei contenuti editoriali del sito ICCU, salvo diversa indicazione)",2026-09-08,versione formato 1.6,,,documentazione struttura/formato e contesto evolutivo,4473b0271c275d7bb909522d24577b25c5a01c36b5ebc49a7a504c1fc976f227,Documentazione ufficiale ICCU conservata localmente a fini di provenance.
