istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
055001,Acquasparta,4351,463,2630,1258,4623.0,624.0,2730.0,1269.0,-272.0,-5.883625351503353,27.44970798182998,28.912893587680994,comparable_on_2025_geography
070001,Acquaviva Collecroce,549,27,325,197,626.0,51.0,376.0,199.0,-77.0,-12.300319488817891,31.789137380191697,35.88342440801457,comparable_on_2025_geography
072001,Acquaviva delle Fonti,19746,2336,12224,5186,20259.0,2499.0,13093.0,4667.0,-513.0,-2.5322079075966237,23.036675057998917,26.263547047503295,comparable_on_2025_geography
094001,Acquaviva d'Isernia,347,20,238,89,406.0,45.0,271.0,90.0,-59.0,-14.532019704433496,22.167487684729064,25.64841498559078,comparable_on_2025_geography
044002,Acquaviva Picena,3591,387,2254,950,3729.0,460.0,2414.0,855.0,-138.0,-3.700724054706356,22.928399034593724,26.455026455026452,comparable_on_2025_geography
085001,Acquaviva Platani,838,84,488,266,920.0,94.0,555.0,271.0,-82.0,-8.91304347826087,29.456521739130437,31.742243436754176,comparable_on_2025_geography
083107,Acquedolci,5511,654,3541,1316,5562.0,709.0,3696.0,1157.0,-51.0,-0.9169363538295576,20.801869830996043,23.87951369987298,comparable_on_2025_geography
006001,Acqui Terme,19005,1884,11143,5978,19878.0,2107.0,11789.0,5982.0,-873.0,-4.391789918502868,30.09357078176879,31.454880294659297,comparable_on_2025_geography
078003,Acri,18337,1945,11188,5204,20194.0,2431.0,12860.0,4903.0,-1857.0,-9.195800732890957,24.279488957115973,28.3797785897366,comparable_on_2025_geography
060002,Acuto,1817,200,1129,488,1871.0,230.0,1230.0,411.0,-54.0,-2.8861571352218065,21.966862640299308,26.85745734727573,comparable_on_2025_geography
072002,Adelfia,16436,1985,10637,3814,16713.0,2167.0,11100.0,3446.0,-277.0,-1.6573924489918026,20.61868006940705,23.20515940618155,comparable_on_2025_geography
087006,Adrano,33667,5250,21470,6947,34248.0,5724.0,22324.0,6200.0,-581.0,-1.6964494277038076,18.103246904928756,20.634449163869665,comparable_on_2025_geography
016001,Adrara San Martino,2199,272,1509,418,2223.0,347.0,1511.0,365.0,-24.0,-1.0796221322537112,16.419253261358524,19.00864029104138,comparable_on_2025_geography
016002,Adrara San Rocco,815,96,520,199,818.0,103.0,531.0,184.0,-3.0,-0.36674816625916873,22.493887530562347,24.41717791411043,comparable_on_2025_geography
029001,Adria,18787,1839,11429,5519,19209.0,2025.0,12054.0,5130.0,-422.0,-2.196886875943568,26.706231454005934,29.376696651940172,comparable_on_2025_geography
017002,Adro,7146,855,4601,1690,7126.0,1015.0,4593.0,1518.0,20.0,0.280662363177098,21.302273365141737,23.649594178561433,comparable_on_2025_geography
023001,Affi,2475,320,1612,543,2358.0,314.0,1599.0,445.0,117.0,4.961832061068702,18.87192536047498,21.939393939393938,comparable_on_2025_geography
058001,Affile,1403,145,846,412,1473.0,166.0,947.0,360.0,-70.0,-4.752206381534283,24.43991853360489,29.36564504632929,comparable_on_2025_geography
063002,Afragola,61786,9588,42018,10180,63072.0,11070.0,43480.0,8522.0,-1286.0,-2.038939624556063,13.51154236428209,16.47622438740168,comparable_on_2025_geography
080001,Africo,2690,450,1619,621,2987.0,466.0,1944.0,577.0,-297.0,-9.943086709072649,19.317040508871777,23.08550185873606,comparable_on_2025_geography
033001,Agazzano,2019,209,1245,565,2019.0,231.0,1190.0,598.0,0.0,0.0,29.618623080733038,27.984150569588905,comparable_on_2025_geography
063003,Agerola,7760,1205,4998,1557,7686.0,1187.0,5009.0,1490.0,74.0,0.9627894873796514,19.385896435076763,20.064432989690722,comparable_on_2025_geography
090001,Aggius,1403,130,839,434,1468.0,151.0,904.0,413.0,-65.0,-4.427792915531335,28.133514986376024,30.933713471133284,comparable_on_2025_geography
086001,Agira,7567,962,4866,1739,8012.0,1134.0,5195.0,1683.0,-445.0,-5.5541687468796805,21.00599101347978,22.981366459627328,comparable_on_2025_geography
