isil,previous_name_original,previous_name_normalized
IT-BO0420,Biblioteca del Dipartimento di Storia Culture Civiltà - DISCI - Archivio Storico,Biblioteca del Dipartimento di Storia Culture Civiltà - DISCI - Archivio Storico
IT-BO0420,Biblioteca universitaria di Bologna - Sezione Archivio Storico,Biblioteca universitaria di Bologna - Sezione Archivio Storico
IT-BO0421,Biblioteca centralizzata Gabriele Goidanich della Facoltà di agraria dell'Università degli studi di Bologna,Biblioteca centralizzata Gabriele Goidanich della Facoltà di agraria dell'Università degli studi di Bologna
IT-BO0422,Biblioteca autonoma di chimica industriale. Alma Mater Studiorum-Università di Bologna,Biblioteca autonoma di chimica industriale. Alma Mater Studiorum-Università di Bologna
IT-BO0422,Biblioteca centralizzata della Facoltà di chimica industriale dell'Università degli studi di Bologna,Biblioteca centralizzata della Facoltà di chimica industriale dell'Università degli studi di Bologna
IT-BO0422,Biblioteca del Servizio centralizzato gestione strutture didattiche della Facoltà di Chimica industriale dell'Università degli studi di Bologna,Biblioteca del Servizio centralizzato gestione strutture didattiche della Facoltà di Chimica industriale dell'Università degli studi di Bologna
IT-BO0422,Biblioteca dell'Istituto di chimica industriale dell'Università degli studi di Bologna,Biblioteca dell'Istituto di chimica industriale dell'Università degli studi di Bologna
IT-BO0422,Biblioteca dell'Istituto di chimica organica Toso Montanari dell'Università degli studi di Bologna,Biblioteca dell'Istituto di chimica organica Toso Montanari dell'Università degli studi di Bologna
IT-BO0422,"Biblioteca dell'Istituto predipartimentale di didattica, di ricerca e dei servizi generali dell'Università degli studi di Bologna","Biblioteca dell'Istituto predipartimentale di didattica, di ricerca e dei servizi generali dell'Università degli studi di Bologna"
IT-BO0423,Biblioteca delle facoltà di Lettere e filosofia e di Magistero dell'Università degli studi di Bologna,Biblioteca delle facoltà di Lettere e filosofia e di Magistero dell'Università degli studi di Bologna
IT-BO0423,Biblioteca di discipline umanistiche ,Biblioteca di discipline umanistiche
IT-BO0423,Biblioteca di discipline umanistiche delle Facoltà di lettere e filosofia e Magistero dell'Università degli studi di Bologna,Biblioteca di discipline umanistiche delle Facoltà di lettere e filosofia e Magistero dell'Università degli studi di Bologna
IT-BO0424,Biblioteca centralizzata clinica della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna,Biblioteca centralizzata clinica della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna
IT-BO0424,"Biblioteca Clinica ""F. B. Bianchi"" - c/o Policlinico S. Orsola, pad. 5 - Alma Mater Studiorum - Università di Bologna","Biblioteca Clinica ""F. B. Bianchi"" - c/o Policlinico S. Orsola, pad. 5 - Alma Mater Studiorum - Università di Bologna"
IT-BO0425,Biblioteca biomedica centrale della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna,Biblioteca biomedica centrale della Facoltà di medicina e chirurgia dell'Università degli studi di Bologna
IT-BO0426,Biblioteca del Dipartimento delle Arti - DARvipem - Sezione di Arti visive I.B. Supino - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento delle Arti - DARvipem - Sezione di Arti visive I.B. Supino - Alma Mater Studiorum - Università di Bologna
IT-BO0426,Biblioteca Supino - DAR - Università degli studi di Bologna,Biblioteca Supino - DAR - Università degli studi di Bologna
IT-BO0427,Biblioteca del Dipartimento di astronomia dell'Università degli studi di Bologna,Biblioteca del Dipartimento di astronomia dell'Università degli studi di Bologna
IT-BO0427,"Biblioteca dell'Istituto di astronomia della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Bologna","Biblioteca dell'Istituto di astronomia della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Bologna"
IT-BO0427,"Biblioteca dell'Istituto nazionale di astrofisica (INAF), Osservatorio astronomico di Bologna","Biblioteca dell'Istituto nazionale di astrofisica (INAF), Osservatorio astronomico di Bologna"
IT-BO0427,Biblioteca di astronomia Guido Horn d'Arturo,Biblioteca di astronomia Guido Horn d'Arturo
IT-BO0427,"Biblioteca Guido Horn d'Arturo dell'Università degli studi di Bologna e dell'INAF, Osservatorio astronomico di Bologna","Biblioteca Guido Horn d'Arturo dell'Università degli studi di Bologna e dell'INAF, Osservatorio astronomico di Bologna"
IT-BO0427,Dipartimento di Fisica ed Astronomia DIFA. Biblioteca di Astronomia - Alma Mater Studiorum - Università di Bologna,Dipartimento di Fisica ed Astronomia DIFA. Biblioteca di Astronomia - Alma Mater Studiorum - Università di Bologna
IT-BO0428,Biblioteca centrale del Dipartimento di biochimica Giovanni Moruzzi dell'Università degli studi di Bologna,Biblioteca centrale del Dipartimento di biochimica Giovanni Moruzzi dell'Università degli studi di Bologna
IT-BO0429,"Biblioteca del Dipartimento di scienze biologiche, geologiche e ambientali Bi.Ge.A. dell'Università degli studi di Bologna. Sezione di Biologia ","Biblioteca del Dipartimento di scienze biologiche, geologiche e ambientali Bi.Ge.A. dell'Università degli studi di Bologna. Sezione di Biologia"
IT-BO0430,"Biblioteca dell'Istituto di botanica della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Bologna","Biblioteca dell'Istituto di botanica della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Bologna"
IT-BO0430,Biblioteca Istituto e Orto botanico dell'Università degli studi di Bologna,Biblioteca Istituto e Orto botanico dell'Università degli studi di Bologna
IT-BO0433,"Biblioteca del Dipartimento di Chimica ""Giacomo Ciamician""","Biblioteca del Dipartimento di Chimica ""Giacomo Ciamician"""
IT-BO0433,"Biblioteca Interdipartimentale di Chimica. Biblioteca di Chimica ""Giacomo Ciamician"". Alma Mater Studiorum Università di Bologna","Biblioteca Interdipartimentale di Chimica. Biblioteca di Chimica ""Giacomo Ciamician"". Alma Mater Studiorum Università di Bologna"
IT-BO0434,Biblioteca del DICASM dell'Università degli studi di Bologna,Biblioteca del DICASM dell'Università degli studi di Bologna
IT-BO0434,"Biblioteca del Dipartimento di ingegneria civile, ambientale e dei materiali - DICAM - Sezione Terracini - Alma Mater Studiorum - Università di Bologna                           ","Biblioteca del Dipartimento di ingegneria civile, ambientale e dei materiali - DICAM - Sezione Terracini - Alma Mater Studiorum - Università di Bologna"
IT-BO0439,Biblioteca del DEA dell'Università degli studi di Bologna,Biblioteca del DEA dell'Università degli studi di Bologna
IT-BO0439,Biblioteca del Dipartimento di discipline economico-aziendali dell'Università degli studi di Bologna,Biblioteca del Dipartimento di discipline economico-aziendali dell'Università degli studi di Bologna
IT-BO0439,Biblioteca dell'Istituto di merceologia della Facoltà di economia e commercio dell'Università degli studi di Bologna,Biblioteca dell'Istituto di merceologia della Facoltà di economia e commercio dell'Università degli studi di Bologna
IT-BO0439,Biblioteca dell'Istituto di ragioneria della Facoltà di economia e commercio dell'Università degli studi di Bologna,Biblioteca dell'Istituto di ragioneria della Facoltà di economia e commercio dell'Università degli studi di Bologna
IT-BO0439,Biblioteca dell'Istituto di tecnica commerciale della Facoltà di economia e commercio dell'Università degli studi di Bologna,Biblioteca dell'Istituto di tecnica commerciale della Facoltà di economia e commercio dell'Università degli studi di Bologna
IT-BO0441,Biblioteca del Dipartimento di discipline giuridiche dell'economia e dell'azienda dell'Università degli studi di Bologna,Biblioteca del Dipartimento di discipline giuridiche dell'economia e dell'azienda dell'Università degli studi di Bologna
IT-BO0441,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - SDE. Sezione di Diritto dell'economia - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - SDE. Sezione di Diritto dell'economia - Alma Mater Studiorum - Università di Bologna
IT-BO0441,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia- Sede San Giacomo 3 - Alma Mater Studiorum - Università di Bologn,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia- Sede San Giacomo 3 - Alma Mater Studiorum - Università di Bologn
IT-BO0441,Biblioteca di Sociologia e Diritto dell'Economia. Sezione di Diritto dell'Economia,Biblioteca di Sociologia e Diritto dell'Economia. Sezione di Diritto dell'Economia
IT-BO0442,Biblioteca del Dipartimento di discipline storiche dell'Università  di Bologna,Biblioteca del Dipartimento di discipline storiche dell'Università di Bologna
IT-BO0442,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Scienze del Moderno,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Scienze del Moderno
IT-BO0442,Biblioteca dell'Istituto di discipline storiche e giuridiche della Facoltà di magistero dell'Università degli studi di Bologna,Biblioteca dell'Istituto di discipline storiche e giuridiche della Facoltà di magistero dell'Università degli studi di Bologna
IT-BO0442,Biblioteca dell'Istituto di storia economica e sociale della Facoltà di economia e commercio dell'Università degli studi di Bologna,Biblioteca dell'Istituto di storia economica e sociale della Facoltà di economia e commercio dell'Università degli studi di Bologna
IT-BO0442,Biblioteca di Storia Culture Civiltà. Sezione di Scienze del Moderno,Biblioteca di Storia Culture Civiltà. Sezione di Scienze del Moderno
IT-BO0442,Biblioteca di storia medievale e moderna della Facoltà di lettere e filosofia dell'Università degli studi di Bologna,Biblioteca di storia medievale e moderna della Facoltà di lettere e filosofia dell'Università degli studi di Bologna
IT-BO0443,"Biblioteca del Dipartimento di elettronica, informatica e sistemistica della Facoltà di Ingegneria dell'Università degli studi di Bologna","Biblioteca del Dipartimento di elettronica, informatica e sistemistica della Facoltà di Ingegneria dell'Università degli studi di Bologna"
IT-BO0443,"Biblioteca del Dipartimento di ingegneria dell'energia elettrica e dell'informazione ""Guglielmo Marconi"" dell'Università di Bologna","Biblioteca del Dipartimento di ingegneria dell'energia elettrica e dell'informazione ""Guglielmo Marconi"" dell'Università di Bologna"
IT-BO0443,Biblioteca dell'Istituto del centro calcoli e servomeccanismi della Facoltà di ingegneria dell'Università degli studi di Bologna ,Biblioteca dell'Istituto del centro calcoli e servomeccanismi della Facoltà di ingegneria dell'Università degli studi di Bologna
IT-BO0443,Biblioteca dell'Istituto di automatica della Facoltà di ingegneria dell'Università degli studi di Bologna ,Biblioteca dell'Istituto di automatica della Facoltà di ingegneria dell'Università degli studi di Bologna
IT-BO0443,Biblioteca dell'Istituto di elettronica della Facoltà di ingegneria dell'Università degli studi di Bologna ,Biblioteca dell'Istituto di elettronica della Facoltà di ingegneria dell'Università degli studi di Bologna
IT-BO0443,"Biblioteca Interdipartimentale di Ingegneria e Architettura. Biblioteca di Ingegneria ""Gian Paolo Dore"" (DEI)","Biblioteca Interdipartimentale di Ingegneria e Architettura. Biblioteca di Ingegneria ""Gian Paolo Dore"" (DEI)"
IT-BO0445,Biblioteca del Dipartimento di Filosofia - Sezione di Filosofia - Via Zamboni 38,Biblioteca del Dipartimento di Filosofia - Sezione di Filosofia - Via Zamboni 38
IT-BO0445,Biblioteca del Dipartimento di Filosofia e Comunicazione - Sede Via Zamboni 38 - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento di Filosofia e Comunicazione - Sede Via Zamboni 38 - Alma Mater Studiorum - Università di Bologna
IT-BO0445,Biblioteca Felice Battaglia del Dipartimento di filosofia dell'Università degli studi di Bologna,Biblioteca Felice Battaglia del Dipartimento di filosofia dell'Università degli studi di Bologna
IT-BO0446,Biblioteca del Dipartimento di fisica Augusto Righi dell'Università degli studi di Bologna,Biblioteca del Dipartimento di fisica Augusto Righi dell'Università degli studi di Bologna
IT-BO0446,Biblioteca del Dipartimento di Fisica ed Astronomia DIFA. Biblioteca di Fisica. Alma MaterStudiorum -  Università di Bologna,Biblioteca del Dipartimento di Fisica ed Astronomia DIFA. Biblioteca di Fisica. Alma MaterStudiorum - Università di Bologna
IT-BO0446,Biblioteca dell'Istituto di fisica,Biblioteca dell'Istituto di fisica
IT-BO0446,"Biblioteca di Matematica, Fisica e Informatica. Sezione di Fisica. Alma Mater Studiorum - Università di Bologna","Biblioteca di Matematica, Fisica e Informatica. Sezione di Fisica. Alma Mater Studiorum - Università di Bologna"
IT-BO0448,Biblioteca del Dipartimento di discipline geografiche dell'Università degli studi di Bologna,Biblioteca del Dipartimento di discipline geografiche dell'Università degli studi di Bologna
IT-BO0449,Biblioteca del Dipartimento di ingegneria chimica e di processo della Facoltà di ingegneria dell'Università degli studi di Bologna,Biblioteca del Dipartimento di ingegneria chimica e di processo della Facoltà di ingegneria dell'Università degli studi di Bologna
IT-BO0449,"Biblioteca del Dipartimento di ingegneria chimica, mineraria e delle tecnologie ambientali dell'Università degli studi di Bologna","Biblioteca del Dipartimento di ingegneria chimica, mineraria e delle tecnologie ambientali dell'Università degli studi di Bologna"
IT-BO0449,"Biblioteca del Dipartimento di Ingegneria Civile, Chimica, Ambientale e dei Materiali - DICAM - Sezione Foraboschi - Alma Mater Studiorum - Università di Bologna","Biblioteca del Dipartimento di Ingegneria Civile, Chimica, Ambientale e dei Materiali - DICAM - Sezione Foraboschi - Alma Mater Studiorum - Università di Bologna"
IT-BO0449,Biblioteca dell'Istituto di impianti chimici della Facoltà di ingegneria dell'Università degli studi di Bologna,Biblioteca dell'Istituto di impianti chimici della Facoltà di ingegneria dell'Università degli studi di Bologna
IT-BO0449,"Nel 2015 ha assorbito la Biblioteca del Dipartimento di Ingegneria Civile, Chimica, Ambientale e dei materiali - DICAM - Sezione Terracini - Alma Mater Studiorum - Università di Bologna  (precedentemente Biblioteca dell'Istituto chimico della Facoltà di i","Nel 2015 ha assorbito la Biblioteca del Dipartimento di Ingegneria Civile, Chimica, Ambientale e dei materiali - DICAM - Sezione Terracini - Alma Mater Studiorum - Università di Bologna (precedentemente Biblioteca dell'Istituto chimico della Facoltà di i"
IT-BO0451,Biblioteca del Dipartimento di Filologia classica e Italianistica Alma Mater Studiorum - Università degli studi di Bologna,Biblioteca del Dipartimento di Filologia classica e Italianistica Alma Mater Studiorum - Università degli studi di Bologna
IT-BO0452,Biblioteca del Dipartimento di lingue e letterature straniere moderne dell'Università degli studi di Bologna,Biblioteca del Dipartimento di lingue e letterature straniere moderne dell'Università degli studi di Bologna
IT-BO0452,"Biblioteca del Dipartimento di lingue, letterature e culture moderne Lilec - Alma Mater Studiorum - Università di Bologna","Biblioteca del Dipartimento di lingue, letterature e culture moderne Lilec - Alma Mater Studiorum - Università di Bologna"
IT-BO0453,Biblioteca del Dipartimento di matematica - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento di matematica - Alma Mater Studiorum - Università di Bologna
IT-BO0453,Biblioteca del Dipartimento di matematica dell'Università degli studi di Bologna,Biblioteca del Dipartimento di matematica dell'Università degli studi di Bologna
IT-BO0453,Biblioteca dell'Istituto matematico Pincherle,Biblioteca dell'Istituto matematico Pincherle
IT-BO0453,"Biblioteca Interdipartimentale di Matematica, Fisica, Astronomia e Informatica - Sezione di Matematica - Alma Mater Studiorum - Università di Bologna","Biblioteca Interdipartimentale di Matematica, Fisica, Astronomia e Informatica - Sezione di Matematica - Alma Mater Studiorum - Università di Bologna"
IT-BO0455,Biblioteca del Dipartimento delle Arti - DAR - Sezione di Musica e Spettacolo - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento delle Arti - DAR - Sezione di Musica e Spettacolo - Alma Mater Studiorum - Università di Bologna
IT-BO0455,Biblioteca del Dipartimento di Musica e Spettacolo dell'Università degli Studi di Bologna,Biblioteca del Dipartimento di Musica e Spettacolo dell'Università degli Studi di Bologna
IT-BO0457, Biblioteca di Storia Culture Civiltà. Sezione di Medievistica,Biblioteca di Storia Culture Civiltà. Sezione di Medievistica
IT-BO0457,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Medievistica,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Medievistica
IT-BO0459,Biblioteca del Dipartimento di patologia sperimentale. Sezione di patologia generale dell'Università degli studi di Bologna,Biblioteca del Dipartimento di patologia sperimentale. Sezione di patologia generale dell'Università degli studi di Bologna
IT-BO0461,"Biblioteca ""Nicola Matteucci"" del Dipartimento di Scienze Politiche e Sociali dell'Università degli studi di Bologna","Biblioteca ""Nicola Matteucci"" del Dipartimento di Scienze Politiche e Sociali dell'Università degli studi di Bologna"
IT-BO0461,"Biblioteca del Dipartimento di politica, istituzioni e storia dell'Università degli studi di Bologna","Biblioteca del Dipartimento di politica, istituzioni e storia dell'Università degli studi di Bologna"
IT-BO0463,Biblioteca del CRIOF. Sede di Cadriano dell'Università degli studi di Bologna,Biblioteca del CRIOF. Sede di Cadriano dell'Università degli studi di Bologna
IT-BO0464,"Biblioteca ""Silvana Contento"" del Dipartimento di Psicologia ","Biblioteca ""Silvana Contento"" del Dipartimento di Psicologia"
IT-BO0464,Biblioteca del Dipartimento di Psicologia dell'Università di Bologna,Biblioteca del Dipartimento di Psicologia dell'Università di Bologna
IT-BO0466,Biblioteca dell'Istituto di geografia,Biblioteca dell'Istituto di geografia
IT-BO0466,Biblioteca dell'Istituto di politica,Biblioteca dell'Istituto di politica
IT-BO0466,Biblioteca dell'Istituto di scienze economiche,Biblioteca dell'Istituto di scienze economiche
IT-BO0468,Biblioteca del Dipartimento di Farmacia e Biotecnologie - FaBiT - Alma Mater Studiorum Università di Bologna,Biblioteca del Dipartimento di Farmacia e Biotecnologie - FaBiT - Alma Mater Studiorum Università di Bologna
IT-BO0468,Biblioteca del Dipartimento di Scienze Farmaceutiche,Biblioteca del Dipartimento di Scienze Farmaceutiche
IT-BO0468,Biblioteca dell'Istituto di Chimica Farmaceutica e Tossicologica dell'Università degli Studi di Bologna,Biblioteca dell'Istituto di Chimica Farmaceutica e Tossicologica dell'Università degli Studi di Bologna
IT-BO0469,Biblioteca del Dipartimento di scienze geologiche dell'Università degli studi di Bologna,Biblioteca del Dipartimento di scienze geologiche dell'Università degli studi di Bologna
IT-BO0470,Biblioteca del Dipartimento di scienze mineralogiche dell'Università degli studi di Bologna,Biblioteca del Dipartimento di scienze mineralogiche dell'Università degli studi di Bologna
IT-BO0471,Biblioteca del Dipartimento di Scienze Statistiche Paolo Fortunati - Alma Mater Studiorum - Università degli studi di Bologna,Biblioteca del Dipartimento di Scienze Statistiche Paolo Fortunati - Alma Mater Studiorum - Università degli studi di Bologna
IT-BO0472,Biblioteca del Dipartimento di sociologia dell'Università degli studi di Bologna,Biblioteca del Dipartimento di sociologia dell'Università degli studi di Bologna
IT-BO0472,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - SDE. Sezione di Sociologia - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - SDE. Sezione di Sociologia - Alma Mater Studiorum - Università di Bologna
IT-BO0472,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - sede Strada Maggiore 45 - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento di Sociologia e Diritto dell'Economia - sede Strada Maggiore 45 - Alma Mater Studiorum - Università di Bologna
IT-BO0472,Biblioteca dell'Istituto di sociologia dell'Università degli studi di Bologna,Biblioteca dell'Istituto di sociologia dell'Università degli studi di Bologna
IT-BO0473,Biblioteca del Dipartimento di storia antica dell'Università degli studi di Bologna,Biblioteca del Dipartimento di storia antica dell'Università degli studi di Bologna
IT-BO0473,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Storia Antica,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Storia Antica
IT-BO0473,Biblioteca dell'Istituto di storia antica,Biblioteca dell'Istituto di storia antica
IT-BO0474,Biblioteca del CILTA dell'Università degli studi di Bologna,Biblioteca del CILTA dell'Università degli studi di Bologna
IT-BO0483,Biblioteca del Dipartimento di discipline della comunicazione dell' Università degli studi di Bologna,Biblioteca del Dipartimento di discipline della comunicazione dell' Università degli studi di Bologna
IT-BO0483,Biblioteca del Dipartimento di Filosofia - Sezione di Comunicazione - Via Azzo Gardino 23,Biblioteca del Dipartimento di Filosofia - Sezione di Comunicazione - Via Azzo Gardino 23
IT-BO0483,Biblioteca del Dipartimento di Filosofia e Comunicazione - Sede Via Azzo Gardino 23 - Alma Mater Studiorum - Università di Bologna,Biblioteca del Dipartimento di Filosofia e Comunicazione - Sede Via Azzo Gardino 23 - Alma Mater Studiorum - Università di Bologna
IT-BO0497,"Biblioteca del Dipartimento di sanità pubblica, veterinaria e patologia animale. Fondo librario di farmacologia veterinaria dell'Università degli studi di Bologna","Biblioteca del Dipartimento di sanità pubblica, veterinaria e patologia animale. Fondo librario di farmacologia veterinaria dell'Università degli studi di Bologna"
IT-BO0497,"Biblioteca dell'Istituto di farmacologia, farmacocinetica e tossicologia della Facoltà di medicina veterinaria dell'Università degli studi di Bologna","Biblioteca dell'Istituto di farmacologia, farmacocinetica e tossicologia della Facoltà di medicina veterinaria dell'Università degli studi di Bologna"
IT-BO0498,Biblioteca del Dipartimento di morfofisiologia veterinaria e produzioni animali. Fondo librario di fisiologia dell'Università degli studi di Bologna,Biblioteca del Dipartimento di morfofisiologia veterinaria e produzioni animali. Fondo librario di fisiologia dell'Università degli studi di Bologna
IT-BO0498,Biblioteca dell'Istituto di fisiologia veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Bologna,Biblioteca dell'Istituto di fisiologia veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Bologna
IT-BO0499,"Biblioteca del Dipartimento di sanità pubblica, veterinaria e patologia animale. Fondo librario di patologia aviare dell'Università degli studi di Bologna","Biblioteca del Dipartimento di sanità pubblica, veterinaria e patologia animale. Fondo librario di patologia aviare dell'Università degli studi di Bologna"
IT-BO0499,Biblioteca dell'Istituto di patologia aviare della Facoltà di medicina veterinaria dell'Università degli studi di Bologna,Biblioteca dell'Istituto di patologia aviare della Facoltà di medicina veterinaria dell'Università degli studi di Bologna
IT-BO0500,Biblioteca dell'Istituto di Patologia Speciale e Clinica Chirurgica Veterinaria. Facolta' di Medicina Veterinaria. Universita' degli Studi di Bologna,Biblioteca dell'Istituto di Patologia Speciale e Clinica Chirurgica Veterinaria. Facolta' di Medicina Veterinaria. Universita' degli Studi di Bologna
IT-BO0501,Biblioteca dell'Istituto di zootecnia e nutrizione animale della Facoltà di medicina veterinaria dell'Università degli studi di Bologna,Biblioteca dell'Istituto di zootecnia e nutrizione animale della Facoltà di medicina veterinaria dell'Università degli studi di Bologna
IT-BO0503,Biblioteca del Centro Cesare Gnudi,Biblioteca del Centro Cesare Gnudi
IT-BO0505,Biblioteca del CIESS dell'Università degli studi di Bologna,Biblioteca del CIESS dell'Università degli studi di Bologna
IT-BO0508,Biblioteca Centralizzata Giovan Battista Ercolani - Scuola di Agraria e Medicina Veterinaria-  Alma Mater Studiorum  Università di Bologna,Biblioteca Centralizzata Giovan Battista Ercolani - Scuola di Agraria e Medicina Veterinaria- Alma Mater Studiorum Università di Bologna
IT-BO0509,Fondo librario chiuso della Scuola di specializzazione in chimica e tecnologie alimentari dell'Università degli studi di Bologna,Fondo librario chiuso della Scuola di specializzazione in chimica e tecnologie alimentari dell'Università degli studi di Bologna
IT-BO0509,Fondo librario. Scuola di specializzazione in chimica e tecnologie alimentari dell'Università degli studi di Bologna,Fondo librario. Scuola di specializzazione in chimica e tecnologie alimentari dell'Università degli studi di Bologna
IT-BO0510,"Biblioteca di discipline economiche ""Walter Bigiavi""","Biblioteca di discipline economiche ""Walter Bigiavi"""
IT-BO0510,Biblioteca Walter Bigiavi dell'Università degli studi di Bologna,Biblioteca Walter Bigiavi dell'Università degli studi di Bologna
IT-BO0512,Archivio dei padri Filippini presso la Chiesa di S. Maria di Galliera,Archivio dei padri Filippini presso la Chiesa di S. Maria di Galliera
IT-BO0512,Archivio della Chiesa di S. Maria di Galliera dei padri Filippini,Archivio della Chiesa di S. Maria di Galliera dei padri Filippini
IT-BO0518,"Biblioteca del Dipartimento di scienze biologiche, geologiche e ambientali Bi.Ge.A. dell'Università degli studi di Bologna. Sezione di Geologia","Biblioteca del Dipartimento di scienze biologiche, geologiche e ambientali Bi.Ge.A. dell'Università degli studi di Bologna. Sezione di Geologia"
IT-BO0519,Area Biblioteche e Servizi allo Studio (ABIS) - Alma Mater Studiorum - Università di Bologna  ,Area Biblioteche e Servizi allo Studio (ABIS) - Alma Mater Studiorum - Università di Bologna
IT-BO0519,Area Sistemi Dipartimentali e Documentali - ASDD. Alma mater Studiorum - Università degli Studi di Bologna  ,Area Sistemi Dipartimentali e Documentali - ASDD. Alma mater Studiorum - Università degli Studi di Bologna
IT-BO0519,Area Sistemi Dipartimentali e Documentali - Ufficio Polo unificato Bolognese del Servizio Bibliotecario Nazionale - SBN UBO - Alma Mater Studiorum - Università di Bologna  ,Area Sistemi Dipartimentali e Documentali - Ufficio Polo unificato Bolognese del Servizio Bibliotecario Nazionale - SBN UBO - Alma Mater Studiorum - Università di Bologna
IT-BO0519,Centro interfacoltà per le biblioteche dell'Università degli studi di Bologna,Centro interfacoltà per le biblioteche dell'Università degli studi di Bologna
IT-BO0519,CIB,CIB
IT-BO0521,Meridiana Mediateca La luna nel pozzo,Meridiana Mediateca La luna nel pozzo
IT-BO0522,Biblioteca comunale Malpighi,Biblioteca comunale Malpighi
IT-BO0523,Biblioteca del Quartiere Saragozza - Oriano Tassinari Clò - Villa Spada,Biblioteca del Quartiere Saragozza - Oriano Tassinari Clò - Villa Spada
IT-BO0523,Biblioteca Oriano Tassinari Clò - Villa Spada - Quartiere Saragozza,Biblioteca Oriano Tassinari Clò - Villa Spada - Quartiere Saragozza
IT-BO0525,Biblioteca del CIRSFID dell'Università degli studi di Bologna,Biblioteca del CIRSFID dell'Università degli studi di Bologna
IT-BO0526,Biblioteca del Dipartimento di archeologia dell'Università degli studi di Bologna,Biblioteca del Dipartimento di archeologia dell'Università degli studi di Bologna
IT-BO0526,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Archeologia (sedi di Bologna e Ravenna),Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Archeologia (sedi di Bologna e Ravenna)
IT-BO0526,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Archeologia. Sede di Bologna,Biblioteca del Dipartimento di Storia Culture Civiltà - DiSCi. Sezione di Archeologia. Sede di Bologna
IT-BO0526,Biblioteca dell'Istituto di archeologia della Facoltà di lettere e filosofia dell'Università degli studi di Bologna,Biblioteca dell'Istituto di archeologia della Facoltà di lettere e filosofia dell'Università degli studi di Bologna
IT-BO0526,Biblioteca di Storia Culture Civiltà. Sezione di Archeologia,Biblioteca di Storia Culture Civiltà. Sezione di Archeologia
IT-BO0528,"Biblioteca comunale ""Giorgio Celli"" Sezione Ragazzi","Biblioteca comunale ""Giorgio Celli"" Sezione Ragazzi"
IT-BO0528,Biblioteca comunale Giorgio Celli di Vado - Sezione Ragazzi,Biblioteca comunale Giorgio Celli di Vado - Sezione Ragazzi
IT-BO0528,Biblioteca comunale Giorgio Celli di Vado. Sezione Ragazzi,Biblioteca comunale Giorgio Celli di Vado. Sezione Ragazzi
IT-BO0528,Biblioteca comunale Mario Marri. Sezione ragazzi di Vado,Biblioteca comunale Mario Marri. Sezione ragazzi di Vado
IT-BO0529,Biblioteca comunale,Biblioteca comunale
IT-BO0531,Biblioteca comunale di Imola. Sezione ragazzi - Casa Piani,Biblioteca comunale di Imola. Sezione ragazzi - Casa Piani
IT-BO0531,Biblioteca comunale per ragazzi Casa Piani,Biblioteca comunale per ragazzi Casa Piani
IT-BO0531,Casa Piani - Sezione ragazzi della Biblioteca comunale di Imola,Casa Piani - Sezione ragazzi della Biblioteca comunale di Imola
IT-BO0532,Biblioteca comunale Gianni Rodari,Biblioteca comunale Gianni Rodari
IT-BO0535,Biblioteca medico-scientifica dell'Azienda USL,Biblioteca medico-scientifica dell'Azienda USL
IT-BO0537,"Biblioteca ""Orlando Pezzoli"" nel quartiere Borgo Panigale - Reno","Biblioteca ""Orlando Pezzoli"" nel quartiere Borgo Panigale - Reno"
