isil,previous_name_original,previous_name_normalized
IT-AL0153,"Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria. Facoltà di scienze matematiche, fisiche e naturali","Università degli studi del Piemonte orientale Amedeo Avogadro. Sede di Alessandria. Facoltà di scienze matematiche, fisiche e naturali"
IT-AL0156,Biblioteca del Dipartimento di politiche pubbliche e scelte collettive e del Dipartimento di ricerca sociale,Biblioteca del Dipartimento di politiche pubbliche e scelte collettive e del Dipartimento di ricerca sociale
IT-AL0159,Biblioteca civica,Biblioteca civica
IT-AL0159,Biblioteca civica 'Donatella Cabiati',Biblioteca civica 'Donatella Cabiati'
IT-AL0164,Biblioteca medico scientifica,Biblioteca medico scientifica
IT-AL0165,Biblioteca civica,Biblioteca civica
IT-AL0169,Biblioteca civica G. Borghello,Biblioteca civica G. Borghello
IT-AL0175,Biblioteca civica,Biblioteca civica
IT-AL0189,Biblioteca civica,Biblioteca civica
IT-AL0193,Biblioteca civica Eugenio Arecco,Biblioteca civica Eugenio Arecco
IT-AL0201,Biblioteca dell'Associazione Pellizza da Volpedo-Musei di Pellizza,Biblioteca dell'Associazione Pellizza da Volpedo-Musei di Pellizza
IT-AL0201,Biblioteca dello Studio-Museo Pellizza,Biblioteca dello Studio-Museo Pellizza
IT-AL0206,Biblioteca del Liceo scientifico E. Amaldi,Biblioteca del Liceo scientifico E. Amaldi
IT-AL0208,Bibliomediateca della Scuola media statale Hugues-Alighieri-Trevigi,Bibliomediateca della Scuola media statale Hugues-Alighieri-Trevigi
IT-AL0216,Biblioteca della Scuola media statale Gerolamo Boccardo,Biblioteca della Scuola media statale Gerolamo Boccardo
IT-AL0225,Biblioteca della Fondazione Cassa di risparmio di Tortona,Biblioteca della Fondazione Cassa di risparmio di Tortona
IT-AL0229,Biblioteca civica dei Ragazzi,Biblioteca civica dei Ragazzi
IT-AL0229,Biblioteca delle ragazze e dei ragazzi Emanuele Luzzati,Biblioteca delle ragazze e dei ragazzi Emanuele Luzzati
IT-AL0233,Biblioteca civica G. Borsalino,Biblioteca civica G. Borsalino
IT-AL0234,Biblioteca Civica,Biblioteca Civica
IT-AL0236,Biblioteca civica,Biblioteca civica
IT-AL0237,Biblioteca civica,Biblioteca civica
IT-AL0238,"Biblioteca ""Norberto Bobbio"" del Dipartimento di giurisprudenza e scienze politiche, economiche e sociali dell'Università degli studi del Piemonte Orientale A. Avogadro - DIGSPES ","Biblioteca ""Norberto Bobbio"" del Dipartimento di giurisprudenza e scienze politiche, economiche e sociali dell'Università degli studi del Piemonte Orientale A. Avogadro - DIGSPES"
IT-AL0238,Biblioteca Galante Garrone del Dipartimento di scienze giuridiche ed economiche dell'Università degli studi del Piemonte Orientale Amedeo Avogadro - Sede di Alessandria ,Biblioteca Galante Garrone del Dipartimento di scienze giuridiche ed economiche dell'Università degli studi del Piemonte Orientale Amedeo Avogadro - Sede di Alessandria
IT-AL0238,Biblioteca Norberto Bobbio dell'Università degli studi del Piemonte Orientale Amedeo Avogadro - Sede di Alessandria ,Biblioteca Norberto Bobbio dell'Università degli studi del Piemonte Orientale Amedeo Avogadro - Sede di Alessandria
IT-AL0239,Biblioteca Civica,Biblioteca Civica
IT-AL0303,Biblioteca Comunale,Biblioteca Comunale
IT-AL0314,Biblioteca del Parco Naturale delle Capanne di Marcarolo,Biblioteca del Parco Naturale delle Capanne di Marcarolo
IT-AN0008,Biblioteca della Curia provinciale dei padri conventuali,Biblioteca della Curia provinciale dei padri conventuali
IT-AN0009,Biblioteca diocesana,Biblioteca diocesana
IT-AN0010,Biblioteca della Soprintendenza per i beni architettonici e per il paesaggio delle Marche,Biblioteca della Soprintendenza per i beni architettonici e per il paesaggio delle Marche
IT-AN0012,Biblioteca della Soprintendenza Archeologia Belle Arti e Paesaggio per le province di Ancona Pesaro e Urbino,Biblioteca della Soprintendenza Archeologia Belle Arti e Paesaggio per le province di Ancona Pesaro e Urbino
IT-AN0012,"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio delle Marche","Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio delle Marche"
IT-AN0012,Biblioteca della Soprintendenza per i beni archeologici delle Marche,Biblioteca della Soprintendenza per i beni archeologici delle Marche
IT-AN0012,Biblioteca della Soprintendenza per i beni architettonici e per il paesaggio delle Marche,Biblioteca della Soprintendenza per i beni architettonici e per il paesaggio delle Marche
IT-AN0017,Biblioteca comunale Luciano Benincasa. Sezione esterna di Collemarino,Biblioteca comunale Luciano Benincasa. Sezione esterna di Collemarino
IT-AN0024,Biblioteca comunale,Biblioteca comunale
IT-AN0024,Biblioteca comunale BADEN POWELL,Biblioteca comunale BADEN POWELL
IT-AN0026,"Biblioteca comunale ""Tommaso Lippera""","Biblioteca comunale ""Tommaso Lippera"""
IT-AN0027,Biblioteca comunale,Biblioteca comunale
IT-AN0031,Biblioteca comunale,Biblioteca comunale
IT-AN0033,Biblioteca comunale,Biblioteca comunale
IT-AN0035,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile
IT-AN0039,Biblioteca francescana,Biblioteca francescana
IT-AN0040,"Biblioteca comunale ""Centro Cultura Piero Pergoli""","Biblioteca comunale ""Centro Cultura Piero Pergoli"""
IT-AN0045,Biblioteca del Seminario diocesano Regina mundi,Biblioteca del Seminario diocesano Regina mundi
IT-AN0051,Biblioteca comunale,Biblioteca comunale
IT-AN0052,Biblioteca comunale,Biblioteca comunale
IT-AN0052,Biblioteca comunale di Morro d'Alba,Biblioteca comunale di Morro d'Alba
IT-AN0056,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile
IT-AN0063,Biblioteca del Centro sociale di educazione permanente,Biblioteca del Centro sociale di educazione permanente
IT-AN0063,Biblioteca del Circolo culturale Oscar Franceschini,Biblioteca del Circolo culturale Oscar Franceschini
IT-AN0064,Biblioteca del Centro sociale di educazione permanente,Biblioteca del Centro sociale di educazione permanente
IT-AN0076,Biblioteca dell'ISTAO,Biblioteca dell'ISTAO
IT-AN0077,Biblioteca dell'INRCA,Biblioteca dell'INRCA
IT-AN0080,Biblioteca del Centro sociale di educazione permanente,Biblioteca del Centro sociale di educazione permanente
IT-AN0081,Biblioteca comunale,Biblioteca comunale
IT-AN0084,Biblioteca-archivio storico della Santa Casa,Biblioteca-archivio storico della Santa Casa
IT-AN0089,Biblioteca del Centro cattolico di cultura,Biblioteca del Centro cattolico di cultura
IT-AN0089,Biblioteca diocesana Mastai Ferretti,Biblioteca diocesana Mastai Ferretti
IT-AN0090,Biblioteca comunale,Biblioteca comunale
IT-AN0094,Biblioteca comunale Planettiana. Sezione ragazzi,Biblioteca comunale Planettiana. Sezione ragazzi
IT-AN0098,Biblioteca del Polo di Villarey dell'Università degli studi di Ancona,Biblioteca del Polo di Villarey dell'Università degli studi di Ancona
IT-AN0098,Biblioteca della Facoltà di economia e commercio dell'Università degli studi di Ancona,Biblioteca della Facoltà di economia e commercio dell'Università degli studi di Ancona
IT-AN0098,Centro di ateneo di documentazione - Biblioteca economico-giuridica-sociologica - Università politecnica delle Marche,Centro di ateneo di documentazione - Biblioteca economico-giuridica-sociologica - Università politecnica delle Marche
IT-AN0100,Biblioteca centrale della Facoltà di medicina e chirurgia dell'Università degli studi di Ancona,Biblioteca centrale della Facoltà di medicina e chirurgia dell'Università degli studi di Ancona
IT-AN0100,Biblioteca Medica Torrette,Biblioteca Medica Torrette
IT-AN0111,Biblioteca del Centro sociale di educazione permanente,Biblioteca del Centro sociale di educazione permanente
IT-AN0121,Biblioteca del Pontificio Seminario Marchigiano PIO XI,Biblioteca del Pontificio Seminario Marchigiano PIO XI
IT-AN0122,Biblioteca del Consiglio regionale,Biblioteca del Consiglio regionale
IT-AN0123,Biblioteca della Soprintendenza archivistica dell'Umbria e delle Marche,Biblioteca della Soprintendenza archivistica dell'Umbria e delle Marche
IT-AN0123,Biblioteca della Soprintendenza Archivistica e bibliografica dell'Umbria e delle Marche. Sede di Ancona,Biblioteca della Soprintendenza Archivistica e bibliografica dell'Umbria e delle Marche. Sede di Ancona
IT-AN0125,Biblioteca IDAU dell'Università degli studi di Ancona,Biblioteca IDAU dell'Università degli studi di Ancona
IT-AN0126,Centro di ateneo di documentazione - Polo di Monte Dago dell'Università Politecnica delle Marche,Centro di ateneo di documentazione - Polo di Monte Dago dell'Università Politecnica delle Marche
IT-AN0133,Biblioteca dell'IRRE. Marche,Biblioteca dell'IRRE. Marche
IT-AN0135,Biblioteca dell'Istituto di storia economica e sociologia della Facoltà di economia e commercio dell'Università degli studi di Ancona,Biblioteca dell'Istituto di storia economica e sociologia della Facoltà di economia e commercio dell'Università degli studi di Ancona
IT-AN0161,Archivio storico comunale,Archivio storico comunale
IT-AN0169,Biblioteca di Scienze dei servizi giuridici - Fondazione Angelo Colocci dell'Università degli studi di Macerata,Biblioteca di Scienze dei servizi giuridici - Fondazione Angelo Colocci dell'Università degli studi di Macerata
IT-AN0171,Biblioteca comunale L. Marcelli Jidalla,Biblioteca comunale L. Marcelli Jidalla
IT-AN0176,Biblioteca dell'Istituto professionale per i servizi alberghieri e della ristorazione Alfredo Panzini,Biblioteca dell'Istituto professionale per i servizi alberghieri e della ristorazione Alfredo Panzini
IT-AN0178,Biblioteca dell'Istituto Gramsci Marche - IGM,Biblioteca dell'Istituto Gramsci Marche - IGM
IT-AN0178,Biblioteca della Federazione provinciale del PDS,Biblioteca della Federazione provinciale del PDS
IT-AN0179,Biblioteca comunale,Biblioteca comunale
IT-AN0181,Biblioteca della Fondazione Chiaravalle-Montessori,Biblioteca della Fondazione Chiaravalle-Montessori
IT-AN0182,Biblioteca dell'Istituto tecnico industriale Vito Volterra,Biblioteca dell'Istituto tecnico industriale Vito Volterra
IT-AN0186,Biblioteca Casa delle Culture,Biblioteca Casa delle Culture
IT-AN0190,Biblioteca comunale,Biblioteca comunale
IT-AN0190,Biblioteca del Centro Sociale di Educazione Permanente,Biblioteca del Centro Sociale di Educazione Permanente
IT-AN0191,Biblioteca scolastica dell' IPSIA G.B. Miliani,Biblioteca scolastica dell' IPSIA G.B. Miliani
IT-AN0192,Biblioteca scolastica dell' ITAS G. Vivarelli,Biblioteca scolastica dell' ITAS G. Vivarelli
IT-AN0198,Biblioteca del Centro cooperativo mazziniano ,Biblioteca del Centro cooperativo mazziniano
IT-AN0330,Centro Sociale di Educazione Permanente (CSEP),Centro Sociale di Educazione Permanente (CSEP)
IT-AN0342,"Biblioteca della Pinacoteca Civica ""Francesco Podesti""","Biblioteca della Pinacoteca Civica ""Francesco Podesti"""
IT-AN0348,Biblioteca del Centro di Informazione Statistica - Cis Istat,Biblioteca del Centro di Informazione Statistica - Cis Istat
IT-AN0349,Biblioteca dell'Archivio Storico Cartiere Miliani Fabriano,Biblioteca dell'Archivio Storico Cartiere Miliani Fabriano
