isil,sbn_code,acnp_code,cei_code,cmbs_code,rism_code,census_year,updated_date,name_original,name_normalized,address_original,address_normalized,hamlet,postal_code,municipality_name,istat_code,province_name,province_istat_code,province_abbrev,region,latitude_original,longitude_original,restricted_access,disabled_access,administrative_type,functional_type,owning_entity,source_status,latitude,longitude,coordinate_quality_flag
IT-AG0001,AGR27,,,,,,2013-02-28,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Contrada S. Nicola,Contrada S. Nicola,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3361677,13.5880717,True,,Regione,Specializzata,Regione siciliana. Soprintendenza per i beni culturali e ambientali,,37.3361677,13.5880717,valid_world_range
IT-AG0005,,,,,,2019,2022-06-27,Biblioteca dell'Archivio di Stato di Agrigento,Biblioteca dell'Archivio di Stato di Agrigento,via Mazzini 185,via Mazzini 185,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3221644312329,13.5886026454773,False,Accessibile,Direzione Generale Archivi,Specializzata,Ministero della Cultura. Archivio di Stato di Agrigento,,37.3221644312329,13.5886026454773,valid_world_range
IT-AG0006,PBED8,,CEI659B00001,,,,2025-12-02,Biblioteca del Seminario vescovile,Biblioteca del Seminario vescovile,Piazza don Minzoni 19,Piazza don Minzoni 19,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3137125,13.5749656,False,Non accessibile,Enti ecclesiastici,Specializzata,Arcidiocesi di Agrigento,,37.3137125,13.5749656,valid_world_range
IT-AG0007,AGR01,,,,,2023,2025-01-17,Biblioteca Comunale Franco La Rocca,Biblioteca Comunale Franco La Rocca,Piazzale Aldo Moro 3,Piazzale Aldo Moro 3,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3095818,13.586151,False,Accessibile,Comune,Pubblica,Comune di Agrigento,,37.3095818,13.586151,valid_world_range
IT-AG0008,,,,,,2023,2023-12-22,Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti,Biblioteca comunale F. La Rocca - Sezione esterna di Giardina Gallotti,Via Belvedere 127,Via Belvedere 127,Giardina Gallotti,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.4050904,13.5291051,False,Non accessibile,Comune,Pubblica,Comune di Agrigento,,37.4050904,13.5291051,valid_world_range
IT-AG0009,,,,,,,,Biblioteca popolare San Vito,Biblioteca popolare San Vito,Via San Vito 6,Via San Vito 6,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3105394,13.5869401,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3105394,13.5869401,valid_world_range
IT-AG0010,AGR03,,,,,2023,2023-12-22,Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro,Biblioteca Comunale Salvatore Cacciatore Partigiano Ciro,piazza Umberto I snc,piazza Umberto I snc,,92021,Aragona,084003,Agrigento,084,AG,SICILIA,37.4085327,13.6439393,False,Parzialmente accessibile,Comune - Istituzione comunale,Pubblica,Comune d'Aragona,,37.4085327,13.6439393,valid_world_range
IT-AG0011,,,,,,,2023-12-22,Biblioteca comunale,Biblioteca comunale,Piazza G. Marconi 43,Piazza G. Marconi 43,,92010,Bivona,084004,Agrigento,084,AG,SICILIA,37.6184977,13.4405434,False,,Comune,Pubblica,Comune di Bivona,,37.6184977,13.4405434,valid_world_range
IT-AG0012,,,,,,2023,2023-12-22,"Biblioteca comunale ""Guglielmo Raimondo Moncada""","Biblioteca comunale ""Guglielmo Raimondo Moncada""","Via Corsentino, 2","Via Corsentino, 2",,92010,Caltabellotta,084007,Agrigento,084,AG,SICILIA,37.5767686,13.215112,False,Non accessibile,Comune,Pubblica,Comune di Caltabellotta,,37.5767686,13.215112,valid_world_range
IT-AG0014,AGR04,,,,,2022,2023-07-05,Biblioteca Comunale Mons. Domenico De Gregorio,Biblioteca Comunale Mons. Domenico De Gregorio,Via dei Giardini snc,Via dei Giardini snc,,92022,Cammarata,084009,Agrigento,084,AG,SICILIA,37.6308269,13.6371923,False,Parzialmente accessibile,Comune,Pubblica,Comune di Cammarata,,37.6308269,13.6371923,valid_world_range
IT-AG0016,,,,,,2022,2024-01-08,Biblioteca comunale 'Prof. Michele Sciabbarrasi',Biblioteca comunale 'Prof. Michele Sciabbarrasi',"via Michelangelo, 9","via Michelangelo, 9",,92020,Castrofilippo,084013,Agrigento,084,AG,SICILIA,37.3502091,13.7501414,False,Accessibile,Comune,Pubblica,Comune di Castrofilippo,,37.3502091,13.7501414,valid_world_range
IT-AG0017,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Collegio 68,Via Collegio 68,,92011,Cattolica Eraclea,084014,Agrigento,084,AG,SICILIA,37.438755,13.3952266,False,Accessibile,Comune,Pubblica,Comune di Cattolica Eraclea,,37.438755,13.3952266,valid_world_range
IT-AG0018,AGR06,,,,,2018,2020-11-13,"Biblioteca comunale ""Paolo Borsellino""","Biblioteca comunale ""Paolo Borsellino""","Corso Commentatore Cinquemani Arcuri, 223","Corso Commentatore Cinquemani Arcuri, 223",,92012,Cianciana,084015,Agrigento,084,AG,SICILIA,37.514489,13.4331103,False,,Comune,Pubblica,Comune di Cianciana,,37.514489,13.4331103,valid_world_range
IT-AG0019,AGR07,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Gravina 11,Via Gravina 11,,92020,Comitini,084016,Agrigento,084,AG,SICILIA,37.408845,13.644007,False,Parzialmente accessibile,Comune,Pubblica,Comune di Comitini,,37.408845,13.644007,valid_world_range
IT-AG0020,,,,,,,,Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria,Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria,Via Beneficenza Mendola,Via Beneficenza Mendola,,92026,Favara,084017,Agrigento,084,AG,SICILIA,37.3178646,13.6639854,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3178646,13.6639854,valid_world_range
IT-AG0021,,,,,,,,Biblioteca del Circolo di cultura il Gattopardo,Biblioteca del Circolo di cultura il Gattopardo,Via Amendola 4,Via Amendola 4,,92026,Favara,084017,Agrigento,084,AG,SICILIA,37.3211216,13.6624159,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3211216,13.6624159,valid_world_range
IT-AG0022,AGR08,,,,,2023,2023-12-22,Biblioteca Comunale Barone Antonio Mendola,Biblioteca Comunale Barone Antonio Mendola,Piazza Cavour 56,Piazza Cavour 56,,92026,Favara,084017,Agrigento,084,AG,SICILIA,37.3147813,13.6604992,False,Non accessibile,Comune,Pubblica,Comune di Favara,,37.3147813,13.6604992,valid_world_range
IT-AG0024,AGR09,,,,,2023,2023-12-22,Biblioteca comunale Martin Luther King,Biblioteca comunale Martin Luther King,Viale della Vittoria 17,Viale della Vittoria 17,,92020,Grotte,084018,Agrigento,084,AG,SICILIA,37.4026107,13.6986455,False,Parzialmente accessibile,Comune,Pubblica,Comune di Grotte,,37.4026107,13.6986455,valid_world_range
IT-AG0025,AGR31,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Alcide De Gasperi 23,Via Alcide De Gasperi 23,,92010,Joppolo Giancaxio,084019,Agrigento,084,AG,SICILIA,37.3880709,13.5559895,False,Accessibile,Comune,Pubblica,Comune di Joppolo Giancaxio,,37.3880709,13.5559895,valid_world_range
IT-AG0027,,,,,,2023,2023-12-22,Biblioteca Comunale Piersanti Mattarella,Biblioteca Comunale Piersanti Mattarella,Corso Vittorio Emanuele 123,Corso Vittorio Emanuele 123,,92010,Lucca Sicula,084022,Agrigento,084,AG,SICILIA,37.578927,13.3069809,False,Accessibile,Comune,Pubblica,Comune di Lucca Sicula,,37.578927,13.3069809,valid_world_range
IT-AG0028,,,,,,,,Biblioteca popolare parrocchiale S. Giovanni,Biblioteca popolare parrocchiale S. Giovanni,,,,92013,Menfi,084023,Agrigento,084,AG,SICILIA,37.6198182,12.9665821,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.6198182,12.9665821,valid_world_range
IT-AG0029,AGR11,,,,,2023,2023-12-22,Istituzione Culturale Federico II,Istituzione Culturale Federico II,Via C. Ognibene 4,Via C. Ognibene 4,,92013,Menfi,084023,Agrigento,084,AG,SICILIA,37.597988,12.969909,False,Parzialmente accessibile,Comune,Pubblica,Comune di Menfi,,37.597988,12.969909,valid_world_range
IT-AG0030,,,,,,2023,2024-01-08,Biblioteca Comunale Antonio Gramsci,Biblioteca Comunale Antonio Gramsci,"viale della Vittoria, 113","viale della Vittoria, 113",,00113,Montallegro,084024,Agrigento,084,AG,SICILIA,37.3890272,13.3522133,False,,Comune,Pubblica,Comune di Montallegro,,37.3890272,13.3522133,valid_world_range
IT-AG0031,AGR12,,,,I-NROc,2023,2023-12-22,Biblioteca Comunale Feliciana,Biblioteca Comunale Feliciana,Piazza Garibaldi 1,Piazza Garibaldi 1,,92028,Naro,084026,Agrigento,084,AG,SICILIA,37.2959201,13.7925044,False,Parzialmente accessibile,Comune,Pubblica,Comune di Naro,,37.2959201,13.7925044,valid_world_range
IT-AG0033,AGR17,,,,,2023,2023-12-22,Biblioteca Comunale Giuseppe Tamburello,Biblioteca Comunale Giuseppe Tamburello,Strada Comunale Portella delle Ginestre 12,Strada Comunale Portella delle Ginestre 12,,92010,Realmonte,084032,Agrigento,084,AG,SICILIA,37.312285,13.4653385,False,Accessibile,Comune,Pubblica,Comune di Realmonte,,37.312285,13.4653385,valid_world_range
IT-AG0034,AGR19,,,,,2023,2023-12-22,Biblioteca comunale Vincenzo Navarro,Biblioteca comunale Vincenzo Navarro,Via P. Caruso 1,Via P. Caruso 1,,92017,Sambuca di Sicilia,084034,Agrigento,084,AG,SICILIA,37.647385,13.111555,False,Parzialmente accessibile,Comune,Pubblica,Comune di Sambuca di Sicilia,,37.647385,13.111555,valid_world_range
IT-AG0036,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Matteotti ,Via Matteotti,,,San Biagio Platani,084035,Agrigento,084,AG,SICILIA,37.5071876,13.5231628,False,,Comune,Pubblica,Comune di San Biagio Platani,Temporaneamente chiusa,37.5071876,13.5231628,valid_world_range
IT-AG0037,AGR20,,,,,2023,2023-12-22,Biblioteca Comunale,Biblioteca Comunale,Via Omero,Via Omero,,92020,San Giovanni Gemini,084036,Agrigento,084,AG,SICILIA,37.6304656,13.6498055,False,Non accessibile,Comune,Pubblica,Comune di San Giovanni Gemini,,37.6304656,13.6498055,valid_world_range
IT-AG0038,,,,,,2023,2023-12-22,Biblioteca comunale 'Domenico Iacono',Biblioteca comunale 'Domenico Iacono',Piazza Umberto I 11,Piazza Umberto I 11,,92020,Sant'Angelo Muxaro,084039,Agrigento,084,AG,SICILIA,37.4803233,13.5461917,False,Parzialmente accessibile,Comune,Pubblica,Comune di Sant'Angelo Muxaro,,37.4803233,13.5461917,valid_world_range
IT-AG0039,AGR22,,,,,2023,2023-12-22,Biblioteca comunale 'Elsa Morante',Biblioteca comunale 'Elsa Morante',Via Regione Siciliana 20,Via Regione Siciliana 20,,92018,Santa Margherita di Belice,084038,Agrigento,084,AG,SICILIA,37.6966292,13.015239,False,Parzialmente accessibile,Comune,Pubblica,Comune di Santa Margherita di Belice,,37.6966292,13.015239,valid_world_range
IT-AG0040,,,,,,2023,2023-12-22,Biblioteca comunale G. Ansalone,Biblioteca comunale G. Ansalone,Piazza San Giordano Ansalone 1,Piazza San Giordano Ansalone 1,,92020,Santo Stefano Quisquina,084040,Agrigento,084,AG,SICILIA,37.623834,13.4912204,False,Accessibile,Comune,Pubblica,Comune di Santo Stefano Quisquina,,37.623834,13.4912204,valid_world_range
IT-AG0041,,,,,,,,Biblioteca del Collegio della congregazione del SS. Redentore,Biblioteca del Collegio della congregazione del SS. Redentore,Piazza Purgatorio 10,Piazza Purgatorio 10,,92019,Sciacca,084041,Agrigento,084,AG,SICILIA,37.5676311,13.0587399,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.5676311,13.0587399,valid_world_range
IT-AG0042,AGR23,,,,I-SCc,2023,2023-12-22,"Biblioteca Comunale ""Aurelio Cassar""","Biblioteca Comunale ""Aurelio Cassar""",Via Santa Caterina 6,Via Santa Caterina 6,,92019,Sciacca,084041,Agrigento,084,AG,SICILIA,37.5079397,13.0863207,False,Accessibile,Comune,Pubblica,Comune di Sciacca,,37.5079397,13.0863207,valid_world_range
IT-AG0043,,,,,,2022,2023-01-20,Biblioteca comunale Giuseppe Antonio Musso,Biblioteca comunale Giuseppe Antonio Musso,"via Vittorio Emanuele, 123","via Vittorio Emanuele, 123",,92020,Villafranca Sicula,084043,Agrigento,084,AG,SICILIA,37.5872593,13.2903659,False,Parzialmente accessibile,Comune,Pubblica,Comune di Villafranca Sicula,,37.5872593,13.2903659,valid_world_range
IT-AG0044,,,,,,,2024-01-08,Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto,Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto,Presso Scuola elementare - Via S. Giuseppe,Presso Scuola elementare - Via S. Giuseppe,Montaperto,92010,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3111882,13.576956,False,,Comune,Pubblica,Comune di Agrigento,Temporaneamente chiusa,37.3111882,13.576956,valid_world_range
IT-AG0045,,,,,,,2024-01-08,Biblioteca comunale - sezione di Villaseta,Biblioteca comunale - sezione di Villaseta,via XX Settembre snc,via XX Settembre snc,Villaseta,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.2985162,13.5623256,False,,Comune,Pubblica,Comune di Agrigento,,37.2985162,13.5623256,valid_world_range
IT-AG0046,,,,,,,,Biblioteca del Centro culturale Pirandello,Biblioteca del Centro culturale Pirandello,Via Dante 105,Via Dante 105,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3096807,13.5762527,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3096807,13.5762527,valid_world_range
IT-AG0047,,,,,,,,Biblioteca del Patronato ACLI,Biblioteca del Patronato ACLI,Via Dinoloco 3,Via Dinoloco 3,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3082862,13.5826647,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3082862,13.5826647,valid_world_range
IT-AG0048,,,,,,,,"Biblioteca della Camera di commercio, industria, artigianato e agricoltura","Biblioteca della Camera di commercio, industria, artigianato e agricoltura",Piazza Gallo,Piazza Gallo,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3111996,13.5790995,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3111996,13.5790995,valid_world_range
IT-AG0049,,,,,,,2024-01-08,Biblioteca di cinema e spettacolo Efebo d'Oro,Biblioteca di cinema e spettacolo Efebo d'Oro,,,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3088512,13.5857528,False,,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,Centro di ricerca per la Narrativa e il Cinema,Biblioteca confluita in IT-AG0078,37.3088512,13.5857528,valid_world_range
IT-AG0050,,,,,,,,Biblioteca internazionale pirandelliana. Centro studi pirandelliani,Biblioteca internazionale pirandelliana. Centro studi pirandelliani,Via S. Lucia 27,Via S. Lucia 27,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3108758,13.578572,True,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3108758,13.578572,valid_world_range
IT-AG0051,AGR02,,,,,2023,2023-12-22,Biblioteca Comunale Falcone - Borsellino,Biblioteca Comunale Falcone - Borsellino,Piazza Luigi Ingo 6,Piazza Luigi Ingo 6,,92010,Alessandria della Rocca,084002,Agrigento,084,AG,SICILIA,37.5321098,13.4362895,False,Accessibile,Comune,Pubblica,Comune di Alessandria della Rocca,,37.5321098,13.4362895,valid_world_range
IT-AG0052,,,,,,,,Biblioteca popolare San Paolo della Croce. Convento dei padri passionisti,Biblioteca popolare San Paolo della Croce. Convento dei padri passionisti,Santuario Madonna della Rocca,Santuario Madonna della Rocca,,92010,Alessandria della Rocca,084002,Agrigento,084,AG,SICILIA,37.5681904,13.4543342,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.5681904,13.4543342,valid_world_range
IT-AG0054,,,,,,2019,2025-10-21,Biblioteca comunale,Biblioteca comunale,"Via Stazione, 20","Via Stazione, 20",,92010,Burgio,084005,Agrigento,084,AG,SICILIA,37.600515,13.285669,False,Non accessibile,Comune,Pubblica,Comune di Burgio,,37.600515,13.285669,valid_world_range
IT-AG0055,,,,,,,2024-06-10,Biblioteca comunale,Biblioteca comunale,"piazza San Vincenzo Ferreri, 1","piazza San Vincenzo Ferreri, 1",,92010,Calamonaci,084006,Agrigento,084,AG,SICILIA,37.5255032,13.2914232,False,,Comune,Pubblica,Comune di Calamonaci,Biblioteca in via di allestimento,37.5255032,13.2914232,valid_world_range
IT-AG0058,AGR29,,,,,2023,2023-12-22,Biblioteca comunale Centro Culturale San Domenico,Biblioteca comunale Centro Culturale San Domenico,Piazza Dante,Piazza Dante,,92024,Canicattì,084011,Agrigento,084,AG,SICILIA,37.3573916,13.8474024,False,Accessibile,Comune,Pubblica,Comune di Canicatti',,37.3573916,13.8474024,valid_world_range
IT-AG0059,,,,,,,,Biblioteca dell'Ospedale civile Barone Lombardo,Biblioteca dell'Ospedale civile Barone Lombardo,Via P. Micca,Via P. Micca,,92024,Canicattì,084011,Agrigento,084,AG,SICILIA,37.3597826,13.8532322,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3597826,13.8532322,valid_world_range
IT-AG0060,,,,,,2023,2023-12-22,Biblioteca Comunale Francesco Lo Bue,Biblioteca Comunale Francesco Lo Bue,Via G. Matteotti,Via G. Matteotti,,92025,Casteltermini,084012,Agrigento,084,AG,SICILIA,37.5375563,13.6407823,False,Accessibile,Comune,Pubblica,Comune di Casteltermini,,37.5375563,13.6407823,valid_world_range
IT-AG0061,,,,,,,,Biblioteca popolare don Gerlando Re,Biblioteca popolare don Gerlando Re,C/o Acli - Corso Comm. Cinquemani Arcuri,C/o Acli - Corso Comm. Cinquemani Arcuri,,92012,Cianciana,084015,Agrigento,084,AG,SICILIA,37.5208,13.436335,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.5208,13.436335,valid_world_range
IT-AG0062,,,,,,2021,2021-07-01,Biblioteca IBBY Lampedusa,Biblioteca IBBY Lampedusa,Via Roma,Via Roma,,92010,Lampedusa e Linosa,084020,Agrigento,084,AG,SICILIA,35.5023056,12.6084917,False,Accessibile,Comune,Pubblica,Comune di Lampedusa e Linosa,,35.5023056,12.6084917,valid_world_range
IT-AG0064,AGR30,,,,,2023,2023-12-22,"Biblioteca comunale ""Salvatore Ruvolo""","Biblioteca comunale ""Salvatore Ruvolo""",Piazza della Repubblica,Piazza della Repubblica,,92010,Montevago,084025,Agrigento,084,AG,SICILIA,37.7025429,12.9902897,False,Accessibile,Comune,Pubblica,Comune di Montevago,,37.7025429,12.9902897,valid_world_range
IT-AG0065,AGR13,,,,,2023,2023-12-22,Biblioteca Comunale Giovanni Falcone,Biblioteca Comunale Giovanni Falcone,Via Carlo Marx 3,Via Carlo Marx 3,,92020,Palma di Montechiaro,084027,Agrigento,084,AG,SICILIA,37.19741080000001,13.7581674,False,Parzialmente accessibile,Comune,Pubblica,Comune di Palma di Montechiaro,,37.19741080000001,13.7581674,valid_world_range
IT-AG0066,AGR14,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via F. Crispi 4,Via F. Crispi 4,,92014,Porto Empedocle,084028,Agrigento,084,AG,SICILIA,37.2939767,13.5024222,False,Accessibile,Comune,Pubblica,Comune di Porto Empedocle,,37.2939767,13.5024222,valid_world_range
IT-AG0067,AGR15,,,,,2018,2020-01-16,Biblioteca comunale,Biblioteca comunale,via Messana,via Messana,,92020,Racalmuto,084029,Agrigento,084,AG,SICILIA,37.4069215,13.7327047,False,,Comune,Pubblica,Comune di Racalmuto,,37.4069215,13.7327047,valid_world_range
IT-AG0068,,,,,,,,Biblioteca popolare Virtus Matrice,Biblioteca popolare Virtus Matrice,Via della Repubblica 2,Via della Repubblica 2,,92020,Racalmuto,084029,Agrigento,084,AG,SICILIA,37.40868,13.732503,False,,Enti ecclesiastici,Pubblica,Chiesa Madre di Racalmuto,,37.40868,13.732503,valid_world_range
IT-AG0069,,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Nazionale 111,Via Nazionale 111,,92015,Raffadali,084030,Agrigento,084,AG,SICILIA,37.4097845,13.5275723,False,Accessibile,Comune,Pubblica,Comune di Raffadali,,37.4097845,13.5275723,valid_world_range
IT-AG0070,AGR16,,,,,2023,2023-12-22,"Biblioteca comunale ""Giuseppe Zagarrio""","Biblioteca comunale ""Giuseppe Zagarrio""",Via Delle Scuole 1,Via Delle Scuole 1,,92029,Ravanusa,084031,Agrigento,084,AG,SICILIA,37.2656209,13.9742634,False,Accessibile,Comune,Pubblica,Comune di Ravanusa,,37.2656209,13.9742634,valid_world_range
IT-AG0071,AGR18,,,,,2023,2023-12-22,Biblioteca comunale Antonio Gramsci,Biblioteca comunale Antonio Gramsci,Via Don Minzoni 11,Via Don Minzoni 11,,92016,Ribera,084033,Agrigento,084,AG,SICILIA,37.502258,13.265373,False,Non accessibile,Comune,Pubblica,Comune di Ribera,,37.502258,13.265373,valid_world_range
IT-AG0072,AGR21,,,,,2023,2023-12-22,Biblioteca comunale di Santa Elisabetta,Biblioteca comunale di Santa Elisabetta,Corso Umberto 92,Corso Umberto 92,,92020,Santa Elisabetta,084037,Agrigento,084,AG,SICILIA,37.431386,13.558815,False,Accessibile,Comune,Pubblica,Comune di Santa Elisabetta,,37.431386,13.558815,valid_world_range
IT-AG0073,,,,,,,,Biblioteca Belluno,Biblioteca Belluno,Via Pordenone 8,Via Pordenone 8,,92018,Santa Margherita di Belice,084038,Agrigento,084,AG,SICILIA,37.6866426,13.0241726,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.6866426,13.0241726,valid_world_range
IT-AG0074,,,,,,,,Biblioteca degli Ospedali civili riuniti,Biblioteca degli Ospedali civili riuniti,Via Figuli,Via Figuli,,92019,Sciacca,084041,Agrigento,084,AG,SICILIA,37.506355,13.0896534,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.506355,13.0896534,valid_world_range
IT-AG0075,,,,,,,2024-01-08,Biblioteca comunale,Biblioteca comunale," Piazza Umbeto I, 8","Piazza Umbeto I, 8",,92010,Siculiana,084042,Agrigento,084,AG,SICILIA,37.3369124,13.4203497,False,,Comune,Pubblica,Comune di Siculiana,,37.3369124,13.4203497,valid_world_range
IT-AG0078,AGR24,,,,,2023,2023-12-22,Biblioteca della Provincia regionale di Agrigento Gaspare Ambrosini,Biblioteca della Provincia regionale di Agrigento Gaspare Ambrosini,Piazzale Aldo Moro 1,Piazzale Aldo Moro 1,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3104962,13.585672,False,Non accessibile,Provincia,Pubblica,Provincia di Agrigento,,37.3104962,13.585672,valid_world_range
IT-AG0079,,,,,,,2024-01-08,Biblioteca comunale - sezione di Fontanelle,Biblioteca comunale - sezione di Fontanelle,"Via Fontanelle, 33","Via Fontanelle, 33",Fontanelle,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3377724,13.5829697,False,,Comune,Pubblica,Comune di Agrigento,,37.3377724,13.5829697,valid_world_range
IT-AG0080,,,,,,,2013-06-27,Biblioteca comunale Santo Spirito. Sezione esterna di Villaggio Mosè,Biblioteca comunale Santo Spirito. Sezione esterna di Villaggio Mosè,Via Meli 1,Via Meli 1,Villaggio Mosè,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.2723212,13.6270158,False,,Comune,Pubblica,Comune di Agrigento,Biblioteca confluita in IT-AG0007,37.2723212,13.6270158,valid_world_range
IT-AG0085,AGR28,,,,I-AG,2018,2021-09-06,Biblioteca Lucchesiana,Biblioteca Lucchesiana,"via DUOMO, 94","via DUOMO, 94",,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3135702,13.577717,False,,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Di conservazione,Deputazione dei canonici della biblioteca Lucchesiana,,37.3135702,13.577717,valid_world_range
IT-AG0087,,,,,,,2024-01-08,Biblioteca dell'Opera Pia Villa Betania,Biblioteca dell'Opera Pia Villa Betania,Via C. Marx 2,Via C. Marx 2,Villaseta,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.2966933,13.5661325,False,,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Pubblica,Opera Pia Villa Betania,Biblioteca non censita,37.2966933,13.5661325,valid_world_range
IT-AG0089,AGR10,,,,,2023,2023-12-22,Biblioteca comunale L. Vitali,Biblioteca comunale L. Vitali,Piazza Matteotti 10,Piazza Matteotti 10,,92027,Licata,084021,Agrigento,084,AG,SICILIA,37.1007135,13.9369706,False,Parzialmente accessibile,Comune,Pubblica,Comune di Licata,,37.1007135,13.9369706,valid_world_range
IT-AG0090,AGR05,,,,,2023,2024-01-08,Biblioteca comunale,Biblioteca comunale,Via Trieste snc,Via Trieste snc,,snc,Campobello di Licata,084010,Agrigento,084,AG,SICILIA,37.25239120000001,13.9190892,False,,Comune,Pubblica,Comune di Campobello di Licata,,37.25239120000001,13.9190892,valid_world_range
IT-AG0091,PALBA,,,,,2022,2022-12-21,Biblioteca Museo Luigi Pirandello,Biblioteca Museo Luigi Pirandello,Via Imera 50,Via Imera 50,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3124703,13.5857746,False,Parzialmente accessibile,Regione,Pubblica,Regione siciliana,,37.3124703,13.5857746,valid_world_range
IT-AG0092,,,,,,,2023-10-27,Biblioteca della Comunità Cristiani nel mondo,Biblioteca della Comunità Cristiani nel mondo,Via Piersanti Mattorella 2,Via Piersanti Mattorella 2,,92026,Favara,084017,Agrigento,084,AG,SICILIA,37.3510809,13.750604,,,NON SPECIFICATA,NON SPECIFICATA,,Biblioteca non censita,37.3510809,13.750604,valid_world_range
IT-AG0093,AGR26,,,,,2023,2024-01-08,Biblioteca della Fondazione Leonardo Sciascia,Biblioteca della Fondazione Leonardo Sciascia,Viale della Vittoria 3,Viale della Vittoria 3,,92020,Racalmuto,084029,Agrigento,084,AG,SICILIA,37.40608170000001,13.7309644,False,Accessibile,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,Fondazione Leonardo Sciascia,,37.40608170000001,13.7309644,valid_world_range
IT-AG0094,,,,,,,2013-09-30,Biblioteca Verba volant,Biblioteca Verba volant,Via Acrone 23,Via Acrone 23,,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3089681,13.5834971,,,Presidenza del consiglio dei ministri e ministeri,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",Biblioteca non censita,37.3089681,13.5834971,valid_world_range
IT-AG0095,PAL01,,,,,2018,2024-01-08,Biblioteca dell'Istituto Comprensivo Anna Frank,Biblioteca dell'Istituto Comprensivo Anna Frank,"via Matteo Cimarra, 5","via Matteo Cimarra, 5",,92100,Agrigento,084001,Agrigento,084,AG,SICILIA,37.3208136,13.5821041,False,,Presidenza del consiglio dei ministri e ministeri,Scolastica,"Ministero dell'istruzione, dell'università e della ricerca",,37.3208136,13.5821041,valid_world_range
