isil,sbn_code,acnp_code,cei_code,cmbs_code,rism_code,census_year,updated_date,name_original,name_normalized,address_original,address_normalized,hamlet,postal_code,municipality_name,istat_code,province_name,province_istat_code,province_abbrev,region,latitude_original,longitude_original,restricted_access,disabled_access,administrative_type,functional_type,owning_entity,source_status,latitude,longitude,coordinate_quality_flag
IT-UD0406,FVG47,,,,,2023,2023-12-22,Biblioteca comunale di Nimis,Biblioteca comunale di Nimis,Via G. Matteotti 16,Via G. Matteotti 16,,33045,Nimis,030065,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.201276,13.2656039999999,False,Parzialmente accessibile,Comune,Pubblica,Comune di Nimis,,46.201276,13.2656039999999,valid_world_range
IT-UD0407,FVG48,,,,,2023,2023-12-22,Biblioteca civica Vincenzo Joppi. Sezione Moderna,Biblioteca civica Vincenzo Joppi. Sezione Moderna,Riva Bartolini 5,Riva Bartolini 5,,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0652754,13.2343667,False,Parzialmente accessibile,Comune,Pubblica,Comune di Udine,,46.0652754,13.2343667,valid_world_range
IT-UD0408,FVG49,,,,,2023,2023-12-22,Biblioteca civica Vincenzo Joppi. Sezione Ragazzi,Biblioteca civica Vincenzo Joppi. Sezione Ragazzi,Riva Bartolini 3,Riva Bartolini 3,,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0653958,13.232941799999935,False,Parzialmente accessibile,Comune,Pubblica,Comune di Udine,,46.0653958,13.232941799999935,valid_world_range
IT-UD0409,FVG50,,,,,2023,2023-12-22,Biblioteca civica Vincenzo Joppi. Sezione Musica,Biblioteca civica Vincenzo Joppi. Sezione Musica,Via Martignacco 146,Via Martignacco 146,,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.07336189999999,13.213298500000064,False,Parzialmente accessibile,Comune,Pubblica,Comune di Udine,,46.07336189999999,13.213298500000064,valid_world_range
IT-UD0410,,,,,,2023,2023-12-22,Biblioteca Comunale,Biblioteca Comunale,Via delle Scuole 38,Via delle Scuole 38,,00038,Rigolato,030094,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.5524756,12.8536215,False,Accessibile,Comune,Pubblica,Comune di Rigolato,Temporaneamente chiusa,46.5524756,12.8536215,valid_world_range
IT-UD0411,FVG54,,,,,2023,2023-12-22,Biblioteca comunale,Biblioteca comunale,Via Centro Studi 39,Via Centro Studi 39,,33030,Coseano,030031,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0878743,12.9930099,False,Parzialmente accessibile,Comune,Pubblica,Comune di Coseano,,46.0878743,12.9930099,valid_world_range
IT-UD0412,FVG55,,,,,2023,2023-12-22,Biblioteca comunale Giulio Andrea Pirona,Biblioteca comunale Giulio Andrea Pirona,Via San Gallo 33,Via San Gallo 33,,33030,Dignano,030032,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0872515,12.9378789,False,Accessibile,Comune,Pubblica,Comune di Dignano,,46.0872515,12.9378789,valid_world_range
IT-UD0413,,,,,,2023,2023-12-22,Biblioteca Comunale,Biblioteca Comunale,Via Sinodo 28,Via Sinodo 28,,33050,Marano Lagunare,030056,Udine,030,UD,FRIULI-VENEZIA GIULIA,45.76482000000001,13.16728,False,Accessibile,Comune,Pubblica,Comune di Marano Lagunare,,45.76482000000001,13.16728,valid_world_range
IT-UD0414,,,,,,2023,2023-12-22,Biblioteca dell'Istituto Friulano per la storia movimento liberazione,Biblioteca dell'Istituto Friulano per la storia movimento liberazione,Viale Ungheria 46,Viale Ungheria 46,,33100,Udine,030129,Udine,030,UD,FRIULI-VENEZIA GIULIA,46.0593745,13.2448913,False,Parzialmente accessibile,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,Istituto Friulano per la storia movimento liberazione,,46.0593745,13.2448913,valid_world_range
IT-UD0415,,,,,,2023,2024-12-20,Biblioteca civica,Biblioteca civica,Via Previelis 1,Via Previelis 1,,33050,Pocenia,030075,Udine,030,UD,FRIULI-VENEZIA GIULIA,45.8385559,13.1015777,False,Accessibile,Comune,Pubblica,Comune di Procenia,,45.8385559,13.1015777,valid_world_range
