library,isil,libraryName,municipality,municipalityName,region,statusCode,population2019,population2025,changePercent
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AQ0172,IT-AQ0172,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/066093,Scanno,ABRUZZO,TEMPORANEAMENTE_CHIUSA,1783,1681,-5.720695457094784
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0027,IT-CB0027,"Biblioteca comunale ""Corrado Gizzi""",https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/070029,Guglionesi,MOLISE,TEMPORANEAMENTE_CHIUSA,5182,4891,-5.615592435353146
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SV0025,IT-SV0025,Biblioteca civica,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/009036,Mallare,LIGURIA,TEMPORANEAMENTE_CHIUSA,1091,1030,-5.5912007332722276
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-ME0144,IT-ME0144,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/083096,Spadafora,SICILIA,INAGIBILE,4925,4652,-5.543147208121827
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-NA0685,IT-NA0685,Biblioteca del Vulcano Solfatara,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/063060,Pozzuoli,CAMPANIA,TEMPORANEAMENTE_CHIUSA,79752,75375,-5.488263617213361
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CZ0106,IT-CZ0106,Biblioteca S. Bonaventura,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/079023,Catanzaro,CALABRIA,TEMPORANEAMENTE_CHIUSA,88085,83313,-5.417494465573026
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CZ0447,IT-CZ0447,Biblioteca del Centro di Informazione Statistica - Cis Istat - Sede della Calabria,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/079023,Catanzaro,CALABRIA,TEMPORANEAMENTE_CHIUSA,88085,83313,-5.417494465573026
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IS0060,IT-IS0060,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/094028,Montaquila,MOLISE,TEMPORANEAMENTE_CHIUSA,2388,2259,-5.402010050251256
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-GE0369,IT-GE0369,Biblioteca del Centro di studi storici per l'Alta Valle Scrivia,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/010006,Busalla,LIGURIA,TEMPORANEAMENTE_CHIUSA,5406,5115,-5.382907880133185
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FG0066,IT-FG0066,Biblioteca comunale,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/071035,Orsara di Puglia,PUGLIA,TEMPORANEAMENTE_CHIUSA,2617,2477,-5.349636988918609
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-IS0014,IT-IS0014,Biblioteca del Centro sociale di educazione permanente,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/094017,Colli a Volturno,MOLISE,TEMPORANEAMENTE_CHIUSA,1340,1269,-5.298507462686567
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-LE0038,IT-LE0038,"Biblioteca comunale ""Fabrizio De Andre'""",https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/075018,Castrignano de' Greci,PUGLIA,TEMPORANEAMENTE_CHIUSA,3834,3631,-5.294731351069379
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TE0022,IT-TE0022,Biblioteca dell'Osservatorio astronomico d'Abruzzo,https://ameliamorsellino.github.io/biblioteche-fantasma/resource/municipality/067041,Teramo,ABRUZZO,TEMPORANEAMENTE_CHIUSA,54443,51600,-5.221975276895101
